Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-26 00:00:00,14,2,0,95,7,73,13,18,0.0,1.0,-1.0
2024-11-26 01:00:00,14,1,0,95,8,74,12,17,0.0,1.0,-1.0
2024-11-26 02:00:00,15,1,0,95,8,74,12,16,0.0,1.0,-1.0
2024-11-26 03:00:00,16,3,0,95,8,72,10,15,0.0,0.0,0.0
2024-11-26 04:00:00,16,3,0,96,8,73,10,13,0.0,1.0,1.0
2024-11-26 05:00:00,15,4,0,99,9,75,9,12,0.0,1.0,1.0
2024-11-26 06:00:00,15,5,0,100,9,76,9,10,0.0,1.0,1.0
2024-11-26 07:00:00,15,6,0,99,9,78,8,10,0.0,1.0,1.0
2024-11-26 08:00:00,15,7,0,99,10,79,8,9,0.0,1.0,1.0
2024-11-26 09:00:00,17,9,0,100,10,76,8,9,0.0,4.0,4.0
2024-11-26 10:00:00,18,11,0,100,11,75,7,9,0.0,4.0,4.0
2024-11-26 11:00:00,19,14,0,100,12,74,7,8,0.0,3.0,3.0
2024-11-26 12:00:00,21,16,0,99,13,71,7,8,0.0,4.0,4.0
2024-11-26 13:00:00,22,18,0,96,13,70,6,7,0.0,4.0,4.0
2024-11-26 14:00:00,22,19,0,92,14,70,6,7,0.0,3.0,3.0
2024-11-26 15:00:00,24,21,0,90,14,67,6,7,0.0,5.0,5.0
2024-11-26 16:00:00,22,18,0,91,14,73,6,7,0.0,2.0,2.0
2024-11-26 17:00:00,20,18,0,95,14,77,5,6,0.0,1.0,1.0
2024-11-26 18:00:00,19,16,0,99,13,79,5,6,0.0,0.0,0.0
2024-11-26 19:00:00,18,15,3,100,13,79,6,6,0.0009,1.0,-1.0
2024-11-26 20:00:00,18,14,3,100,12,80,6,7,0.0009,0.0,0.0
2024-11-26 21:00:00,17,13,3,100,12,80,6,7,0.0009,1.0,-1.0
2024-11-26 22:00:00,17,13,3,99,12,80,6,7,0.0009,1.0,-1.0
2024-11-26 23:00:00,17,13,3,99,12,82,6,7,0.0009,1.0,-1.0
2024-11-27 00:00:00,17,13,6,100,11,78,6,7,0.0036,1.0,-1.0
2024-11-27 01:00:00,17,13,19,100,12,79,6,7,0.0361,0.0,0.0
2024-11-27 02:00:00,17,12,19,100,12,80,6,8,0.0361,0.0,0.0
2024-11-27 03:00:00,17,11,24,100,12,79,7,8,0.0576,1.0,1.0
2024-11-27 04:00:00,17,10,57,100,12,80,7,8,0.32489999999999997,1.0,1.0
2024-11-27 05:00:00,17,9,57,100,12,81,7,8,0.32489999999999997,2.0,2.0
2024-11-27 06:00:00,17,10,47,100,12,81,7,9,0.22089999999999999,1.0,1.0
2024-11-27 07:00:00,16,9,20,99,12,83,7,8,0.04000000000000001,0.0,0.0
2024-11-27 08:00:00,14,7,20,99,12,91,7,8,0.6400000000000001,2.0,-2.0
2024-11-27 09:00:00,17,10,20,100,12,83,7,9,0.04000000000000001,1.0,1.0
2024-11-27 10:00:00,18,10,20,100,13,81,8,9,0.04000000000000001,2.0,2.0
2024-11-27 11:00:00,20,12,20,100,14,78,8,9,0.04000000000000001,4.0,4.0
2024-11-27 12:00:00,21,13,16,100,14,74,8,10,0.0256,5.0,5.0
2024-11-27 13:00:00,22,14,7,98,15,72,9,12,0.004900000000000001,6.0,6.0
2024-11-27 14:00:00,23,14,7,97,15,70,9,13,0.004900000000000001,7.0,7.0
2024-11-27 15:00:00,25,15,7,96,15,66,10,13,0.004900000000000001,8.0,8.0
2024-11-27 16:00:00,23,13,7,98,15,72,9,14,0.004900000000000001,6.0,6.0
2024-11-27 17:00:00,21,11,7,98,15,77,9,14,0.004900000000000001,4.0,4.0
2024-11-27 18:00:00,19,11,5,93,14,79,8,14,0.0025000000000000005,2.0,2.0
2024-11-27 19:00:00,19,10,1,84,13,80,8,14,0.0001,2.0,2.0
2024-11-27 20:00:00,18,9,1,73,13,81,8,14,0.0001,0.0,0.0
2024-11-27 21:00:00,17,9,1,70,13,81,8,13,0.0001,1.0,-1.0
2024-11-27 22:00:00,17,9,1,76,13,83,8,12,0.0001,0.0,0.0
2024-11-27 23:00:00,17,7,1,89,12,84,8,10,0.9801,1.0,-1.0
