Hour,Temperature,Feels_Like,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Wind_Gusts
2024-11-27 00:00:00,32,31,0,94,27,80,5,6
2024-11-27 01:00:00,34,34,0,100,27,75,5,5
2024-11-27 02:00:00,34,33,0,100,27,76,5,6
2024-11-27 03:00:00,34,33,0,100,27,75,5,6
2024-11-27 04:00:00,34,33,0,99,27,75,5,6
2024-11-27 05:00:00,35,33,0,99,27,73,5,6
2024-11-27 06:00:00,35,34,2,100,27,72,5,6
2024-11-27 07:00:00,36,34,7,94,27,71,6,6
2024-11-27 08:00:00,36,34,7,94,27,70,6,7
2024-11-27 09:00:00,37,35,7,94,28,69,6,8
2024-11-27 10:00:00,38,36,7,94,28,68,6,8
2024-11-27 11:00:00,40,37,7,94,29,66,7,9
2024-11-27 12:00:00,41,38,11,94,30,64,7,10
2024-11-27 13:00:00,42,39,43,94,31,63,7,10
2024-11-27 14:00:00,42,39,47,94,32,68,7,10
2024-11-27 15:00:00,41,35,51,94,33,73,7,10
2024-11-27 16:00:00,39,33,54,94,34,80,6,9
2024-11-27 17:00:00,38,35,49,94,34,86,6,7
2024-11-27 18:00:00,37,34,47,94,35,92,6,7
2024-11-27 19:00:00,36,33,49,100,35,97,6,7
2024-11-27 20:00:00,36,30,67,100,36,98,6,7
2024-11-27 21:00:00,37,30,73,100,36,96,6,7
2024-11-27 22:00:00,37,33,52,99,36,97,6,7
2024-11-27 23:00:00,37,33,49,99,36,97,6,7
2024-11-28 00:00:00,36,29,60,100,35,97,7,8
2024-11-28 01:00:00,36,29,75,100,35,97,7,8
2024-11-28 02:00:00,36,28,75,100,35,96,7,8
2024-11-28 03:00:00,36,27,73,100,34,95,7,9
2024-11-28 04:00:00,35,30,40,96,34,95,8,9
2024-11-28 05:00:00,35,29,34,92,33,92,8,9
2024-11-28 06:00:00,34,28,24,90,32,91,8,9
2024-11-28 07:00:00,33,27,4,70,31,93,8,9
2024-11-28 08:00:00,34,28,4,70,31,91,8,10
2024-11-28 09:00:00,36,31,4,70,32,88,8,12
2024-11-28 10:00:00,37,32,4,70,32,83,8,14
2024-11-28 11:00:00,39,34,4,70,32,75,9,16
2024-11-28 12:00:00,40,34,2,70,30,69,9,17
2024-11-28 13:00:00,40,34,0,70,29,65,10,16
2024-11-28 14:00:00,40,34,0,70,28,61,10,16
2024-11-28 15:00:00,40,34,0,70,27,59,10,16
2024-11-28 16:00:00,39,32,0,70,26,59,10,16
2024-11-28 17:00:00,38,30,0,67,25,61,9,15
2024-11-28 18:00:00,35,29,0,65,25,65,8,14
2024-11-28 19:00:00,33,27,0,67,24,69,8,14
2024-11-28 20:00:00,31,25,0,72,24,73,8,14
2024-11-28 21:00:00,30,24,0,76,23,75,8,14
2024-11-28 22:00:00,29,22,0,78,23,77,8,13
2024-11-28 23:00:00,29,21,0,78,22,75,8,14
