Hour,Temperature,Precip_Chance
2024-11-28 0:00:00,37,44
2024-11-28 1:00:00,36,29
2024-11-28 2:00:00,35,14
2024-11-28 3:00:00,35,0
2024-11-28 4:00:00,33,0
2024-11-28 5:00:00,32,0
2024-11-28 6:00:00,31,0
2024-11-28 7:00:00,32,0
2024-11-28 8:00:00,33,0
2024-11-28 9:00:00,33,0
2024-11-28 10:00:00,34,0
2024-11-28 11:00:00,36,0
2024-11-28 12:00:00,38,0
2024-11-28 13:00:00,39,0
2024-11-28 14:00:00,39,0
2024-11-28 15:00:00,39,0
2024-11-28 16:00:00,37,0
2024-11-28 17:00:00,35,0
2024-11-28 18:00:00,33,0
2024-11-28 19:00:00,31,0
2024-11-28 20:00:00,30,0
2024-11-28 21:00:00,29,0
2024-11-28 22:00:00,28,0
2024-11-28 23:00:00,27,0
2024-11-29 0:00:00,27,0
2024-11-29 1:00:00,26,0
2024-11-29 2:00:00,26,0
2024-11-29 3:00:00,25,0
2024-11-29 4:00:00,24,0
2024-11-29 5:00:00,24,0
2024-11-29 6:00:00,23,0
2024-11-29 7:00:00,22,0
2024-11-29 8:00:00,21,0
2024-11-29 9:00:00,22,0
2024-11-29 10:00:00,23,0
2024-11-29 11:00:00,24,0
2024-11-29 12:00:00,26,0
2024-11-29 13:00:00,28,0
2024-11-29 14:00:00,29,0
2024-11-29 15:00:00,28,0
2024-11-29 16:00:00,28,0
2024-11-29 17:00:00,26,0
2024-11-29 18:00:00,24,0
2024-11-29 19:00:00,23,0
2024-11-29 20:00:00,22,0
2024-11-29 21:00:00,21,0
2024-11-29 22:00:00,20,0
2024-11-29 23:00:00,19,0
