Hour,Temperature,Precip_Chance,Cloud_Cover,Dew_Point,Humidity,Wind_Speed,Brier_Score,Temp_Absolute_Error,Temp_Error(forecast-obs)
2024-11-28 00:00:00,45,22,100,35,68,2,0.0484,4.0,-4.0
2024-11-28 01:00:00,45,31,100,35,68,2,0.0961,4.0,-4.0
2024-11-28 02:00:00,45,40,100,36,70,2,0.16000000000000003,3.0,-3.0
2024-11-28 03:00:00,44,49,100,36,73,2,0.24009999999999998,4.0,-4.0
2024-11-28 04:00:00,44,58,100,37,76,3,0.3364,3.0,-3.0
2024-11-28 05:00:00,43,68,100,38,82,5,0.10239999999999996,3.0,-3.0
2024-11-28 06:00:00,43,89,100,39,86,6,0.012099999999999998,1.0,-1.0
2024-11-28 07:00:00,43,99,100,40,89,7,0.00010000000000000018,1.0,-1.0
2024-11-28 08:00:00,44,99,100,43,96,8,0.00010000000000000018,1.0,-1.0
2024-11-28 09:00:00,46,99,100,44,93,9,0.00010000000000000018,1.0,1.0
2024-11-28 10:00:00,47,99,100,46,96,9,0.00010000000000000018,1.0,1.0
2024-11-28 11:00:00,49,99,100,47,93,9,0.00010000000000000018,2.0,2.0
2024-11-28 12:00:00,50,99,100,49,96,8,0.00010000000000000018,1.0,1.0
2024-11-28 13:00:00,52,88,100,50,93,8,0.0144,3.0,3.0
2024-11-28 14:00:00,52,88,100,50,93,8,0.7744,5.0,5.0
2024-11-28 15:00:00,52,88,100,49,89,8,0.7744,5.0,5.0
2024-11-28 16:00:00,51,88,99,47,86,9,0.7744,6.0,6.0
2024-11-28 17:00:00,49,88,88,45,86,10,0.7744,6.0,6.0
2024-11-28 18:00:00,48,88,70,43,83,11,0.7744,5.0,5.0
2024-11-28 19:00:00,47,12,51,41,79,13,0.0144,4.0,4.0
2024-11-28 20:00:00,45,12,46,40,82,13,0.0144,2.0,2.0
2024-11-28 21:00:00,44,12,42,39,82,11,0.0144,1.0,1.0
2024-11-28 22:00:00,44,12,37,38,79,11,0.0144,1.0,1.0
2024-11-28 23:00:00,43,12,33,37,79,11,0.0144,1.0,1.0
2024-11-29 00:00:00,40,12,29,36,85,11,0.0144,2.0,-2.0
2024-11-29 01:00:00,42,2,25,35,76,11,0.0004,0.0,0.0
2024-11-29 02:00:00,41,2,24,34,76,10,0.0004,0.0,0.0
2024-11-29 03:00:00,40,2,22,34,79,10,0.0004,1.0,-1.0
2024-11-29 04:00:00,39,2,21,33,79,9,0.0004,2.0,-2.0
2024-11-29 05:00:00,39,2,22,33,79,9,0.0004,0.0,0.0
2024-11-29 06:00:00,38,2,22,32,79,9,0.0004,3.0,-3.0
2024-11-29 07:00:00,38,0,23,32,79,8,0.0,3.0,-3.0
2024-11-29 08:00:00,39,0,27,32,76,9,0.0,2.0,-2.0
2024-11-29 09:00:00,41,0,31,33,73,9,0.0,1.0,-1.0
2024-11-29 10:00:00,43,0,36,33,67,9,0.0,1.0,1.0
2024-11-29 11:00:00,45,0,40,33,62,10,0.0,1.0,1.0
2024-11-29 12:00:00,46,0,44,33,60,10,0.0,0.0,0.0
2024-11-29 13:00:00,47,2,48,33,58,10,0.0004,0.0,0.0
2024-11-29 14:00:00,47,2,49,33,58,10,0.0004,2.0,2.0
2024-11-29 15:00:00,47,2,49,32,56,9,0.0004,3.0,3.0
2024-11-29 16:00:00,46,2,50,32,58,9,0.0004,2.0,2.0
2024-11-29 17:00:00,45,2,50,32,60,9,0.0004,4.0,4.0
2024-11-29 18:00:00,43,2,51,31,62,9,0.0004,3.0,3.0
2024-11-29 19:00:00,42,6,51,31,65,9,0.0036,3.0,3.0
2024-11-29 20:00:00,41,6,50,30,65,9,0.0036,3.0,3.0
2024-11-29 21:00:00,41,6,48,30,65,10,0.0036,4.0,4.0
2024-11-29 22:00:00,40,6,47,29,64,10,0.0036,5.0,5.0
2024-11-29 23:00:00,39,6,46,28,64,10,0.0036,4.0,4.0
